tokens,pred_labels,aligned_tokens
Oxytocin,O,Oxytocin
receptor,O,receptor
gene,O,gene
variations,O,variations
and,O,and
socio,O,socio
-,O,-
emotional,O,emotional
effects,O,effects
of,O,of
MDMA,B-Application Area,MDMA
:,O,:
A,O,A
pooled,O,pooled
analysis,O,analysis
of,O,of
controlled,O,controlled
studies,O,studies
in,O,in
healthy,O,healthy
subjects.^,O,subjects.^
"
",O,
Methylenedioxymethamphetamine,B-Application Area,Methylenedioxymethamphetamine
(,O,(
MDMA,O,MDMA
),O,)
increases,O,increases
oxytocin,O,oxytocin
",",O,","
empathy,O,empathy
",",O,","
and,O,and
prosociality,O,prosociality
.,O,.
Oxytocin,O,Oxytocin
plays,O,plays
a,O,a
critical,O,critical
role,O,role
in,O,in
emotion,O,emotion
processing,O,processing
and,O,and
social,O,social
behavior,O,behavior
and,O,and
has,O,has
been,O,been
shown,O,shown
to,O,to
mediate,O,mediate
the,O,the
prosocial,O,prosocial
effects,O,effects
of,O,of
MDMA,B-Application Area,MDMA
in,O,in
animals,O,animals
.,O,.
Genetic,O,Genetic
variants,O,variants
",",O,","
such,O,such
as,O,as
single,O,single
-,O,-
nucleotide,O,nucleotide
polymorphisms,O,polymorphisms
(,O,(
SNPs,O,SNPs
),O,)
",",O,","
of,O,of
the,O,the
oxytocin,O,oxytocin
receptor,O,receptor
(,O,(
OXTR,O,OXTR
),O,)
may,O,may
influence,O,influence
the,O,the
emotional,O,emotional
and,O,and
social,O,social
effects,O,effects
of,O,of
MDMA,B-Application Area,MDMA
in,O,in
humans,O,humans
.,O,.
The,O,The
effects,O,effects
of,O,of
common,O,common
genetic,O,genetic
variants,O,variants
of,O,of
the,O,the
OXTR,O,OXTR
(,O,(
rs53576,O,rs53576
",",O,","
rs1042778,O,rs1042778
",",O,","
and,O,and
rs2254298,O,rs2254298
SNPs,O,SNPs
),O,)
on,O,on
the,O,the
emotional,O,emotional
",",O,","
empathogenic,O,empathogenic
",",O,","
and,O,and
prosocial,O,prosocial
effects,O,effects
of,O,of
MDMA,B-Application Area,MDMA
were,O,were
characterized,O,characterized
in,O,in
up,O,up
to,O,to
132,O,132
healthy,O,healthy
subjects,O,subjects
in,O,in
a,O,a
pooled,O,pooled
analysis,O,analysis
of,O,of
eight,O,eight
double,O,double
-,O,-
blind,O,blind
",",O,","
placebo,O,placebo
-,O,-
controlled,O,controlled
studies,O,studies
.,O,.
In,O,In
a,O,a
subset,O,subset
of,O,of
53,O,53
subjects,O,subjects
",",O,","
MDMA,B-Application Area,MDMA
produced,O,produced
significantly,O,significantly
greater,O,greater
feelings,O,feelings
of,O,of
trust,O,trust
in,O,in
rs1042778,O,rs1042778
TT,O,TT
genotypes,O,genotypes
compared,O,compared
with,O,with
G,O,G
allele,O,allele
carriers,O,carriers
.,O,.
The,O,The
rs53576,O,rs53576
and,O,and
rs225498,O,rs225498
SNPs,O,SNPs
did,O,did
not,O,not
moderate,O,moderate
the,O,the
subjective,O,subjective
effects,O,effects
of,O,of
MDMA,B-Application Area,MDMA
in,O,in
up,O,up
to,O,to
132,O,132
subjects,O,subjects
.,O,.
None,O,None
of,O,of
the,O,the
SNPs,O,SNPs
moderated,O,moderated
MDMA,B-Application Area,MDMA
-,O,-induced
induced,O,
impairments,O,impairments
in,O,in
negative,O,negative
facial,O,facial
emotion,O,emotion
recognition,O,recognition
or,O,or
enhancements,O,enhancements
in,O,in
emotional,O,emotional
empathy,O,empathy
in,O,in
the,O,the
Multifaceted,O,Multifaceted
Empathy,O,Empathy
Test,O,Test
in,O,in
69,O,69
subjects,O,subjects
.,O,.
MDMA,B-Application Area,MDMA
significantly,O,significantly
increased,O,increased
plasma,O,plasma
oxytocin,O,oxytocin
concentrations,O,concentrations
.,O,.
MDMA,B-Application Area,MDMA
and,O,and
oxytocin,O,oxytocin
concentrations,O,concentrations
did,O,did
not,O,not
differ,O,differ
between,O,between
OXTR,O,OXTR
gene,O,gene
variants,O,variants
.,O,.
The,O,The
present,O,present
results,O,results
provide,O,provide
preliminary,O,preliminary
evidence,O,evidence
that,O,that
OXTR,O,OXTR
gene,O,gene
variations,O,variations
may,O,may
modulate,O,modulate
aspects,O,aspects
of,O,of
the,O,the
prosocial,O,prosocial
subjective,O,subjective
effects,O,effects
of,O,of
MDMA,B-Application Area,MDMA
in,O,in
humans,O,humans
.,O,.
However,O,However
",",O,","
interpretation,O,interpretation
should,O,should
be,O,be
cautious,O,cautious
due,O,due
to,O,to
the,O,the
small,O,small
sample,O,sample
size,O,size
.,O,.
Additionally,O,Additionally
",",O,","
OXTR,O,OXTR
SNPs,O,SNPs
did,O,did
not,O,not
moderate,O,moderate
the,O,the
subjective,O,subjective
overall,O,overall
effect,O,effect
of,O,of
MDMA,B-Application Area,MDMA
(,O,(
any,O,any
drug,O,drug
effect,O,effect
),O,)
or,O,or
feelings,O,feelings
of,O,of
"""",O,""""
closeness,O,closeness
to,O,to
others,O,others
"""",O,""""
.,O,.
TRIAL,O,TRIAL
REGISTRATION,O,REGISTRATION
:,O,:
ClinicalTrials.gov,O,ClinicalTrials.gov
:,O,:
http://www.clinicaltrials.gov,O,http://www.clinicaltrials.gov
",",O,","
No,O,No
:,O,:
NCT00886886,O,NCT00886886
",",O,","
NCT00990067,O,NCT00990067
",",O,","
NCT01136278,O,NCT01136278
",",O,","
NCT01270672,O,NCT01270672
",",O,","
NCT01386177,O,NCT01386177
",",O,","
NCT01465685,O,NCT01465685
",",O,","
NCT01771874,O,NCT01771874
",",O,","
and,O,and
NCT01951508,O,NCT01951508
.,O,.
